method,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,781,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,782,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.5555555555555555,0.5807190293335579,0.4074074074074074
Graph+BGE,782,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,788,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,793,Head,3,0.2222222222222222,0.31285248401517096,0.2222222222222222,0.3333333333333333,0.3685726356705717,0.24074074074074073
Graph+BGE,795,Head,2,1.0,0.9501149685115848,0.9,1.0,0.9501149685115848,0.9
Graph+BGE,803,Head,2,1.0,0.9732402630493958,0.9444444444444443,1.0,0.9732402630493958,0.9444444444444443
Graph+BGE,810,Head,4,0.75,0.8058141795723451,0.7013888888888888,1.0,0.9418938603564291,0.8601190476190476
Graph+BGE,810,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,811,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,813,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,821,Head,1,0.6666666666666666,0.5436432511904858,0.5,1.0,0.6623789802264932,0.5555555555555556
Graph+BGE,822,Head,1,0.0,0.0,0.0,0.6666666666666666,0.2222222222222222,0.09523809523809523
Graph+BGE,825,Head,3,0.3333333333333333,0.3733664148609552,0.24444444444444444,0.6666666666666666,0.5219444716444043,0.3286596119929453
Graph+BGE,831,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,833,Head,9,0.1851851851851852,0.3622663051382074,0.20666666666666667,0.4074074074074074,0.4106011013136266,0.21887125220458556
Graph+BGE,833,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,833,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,834,Head,5,0.4000000000000001,0.5383444159755705,0.37777777777777777,0.4000000000000001,0.5383444159755705,0.37777777777777777
Graph+BGE,837,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,840,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.6666666666666666
Graph+BGE,840,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,842,Head,4,0.5,0.5285233583293842,0.45138888888888884,0.75,0.6535408634060761,0.5111111111111111
Graph+BGE,845,Head,15,0.17777777777777778,0.5742421908816506,0.46222222222222226,0.3111111111111111,0.5119326266673382,0.3251984126984127
Graph+BGE,845,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,845,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,852,Head,1,1.0,0.8102255193577976,0.75,1.0,0.8102255193577976,0.75
Graph+BGE,856,Head,5,0.20000000000000004,0.3391602052736162,0.20000000000000004,0.20000000000000004,0.3391602052736162,0.20000000000000004
Graph+BGE,858,Head,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7670099985546605,0.7037037037037037
Graph+BGE,863,Head,2,1.0,0.9233552315609806,0.8444444444444444,1.0,0.9233552315609806,0.8444444444444444
Graph+BGE,863,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,867,Head,6,0.1111111111111111,0.10521615082650483,0.03888888888888889,0.3333333333333333,0.22174167551779192,0.09140211640211642
Graph+BGE,869,Head,4,0.5,0.6366824387328317,0.5,0.6666666666666666,0.724084896693212,0.5729166666666666
Graph+BGE,875,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,879,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,883,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,886,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
